team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,ground_country,match_date
Sri Lanka,Pakistan,288,173,10,10,away,away,Sri Lanka,South Africa,1998-04-15 00:00:00
Pakistan,South Africa,145,149,10,3,away,home,South Africa,South Africa,1998-04-17 00:00:00
India,New Zealand,220,205,9,10,away,away,India,United Arab Emirates,1998-04-17 00:00:00
New Zealand,Australia,159,160,10,4,away,away,Australia,United Arab Emirates,1998-04-18 00:00:00
Sri Lanka,South Africa,105,106,10,5,away,home,South Africa,South Africa,1998-04-19 00:00:00
Australia,India,264,206,9,10,away,away,Australia,United Arab Emirates,1998-04-19 00:00:00
India,New Zealand,181,183,10,6,away,away,New Zealand,United Arab Emirates,1998-04-20 00:00:00
New Zealand,Australia,259,261,5,5,away,away,Australia,United Arab Emirates,1998-04-21 00:00:00
Australia,India,284,250,7,5,away,away,Australia,United Arab Emirates,1998-04-22 00:00:00
Pakistan,South Africa,114,115,10,1,away,home,South Africa,South Africa,1998-04-23 00:00:00
Australia,India,272,275,9,4,away,away,India,United Arab Emirates,1998-04-24 00:00:00
Bangladesh,India,184,185,9,5,away,home,India,India,1998-05-14 00:00:00
Kenya,Bangladesh,236,237,10,4,away,away,Bangladesh,India,1998-05-17 00:00:00
Kenya,India,223,224,9,6,away,home,India,India,1998-05-20 00:00:00
England,South Africa,223,224,9,7,home,away,South Africa,England,1998-05-21 00:00:00
Kenya,Bangladesh,226,198,8,10,away,away,Kenya,India,1998-05-23 00:00:00
South Africa,England,226,194,9,10,away,home,South Africa,England,1998-05-23 00:00:00
South Africa,England,205,206,8,3,away,home,England,England,1998-05-24 00:00:00
Bangladesh,India,115,116,10,5,away,home,India,India,1998-05-25 00:00:00
Kenya,India,265,196,5,10,away,home,Kenya,India,1998-05-28 00:00:00
Kenya,India,196,197,10,1,away,home,India,India,1998-05-31 00:00:00
Sri Lanka,India,243,246,6,2,home,away,India,Sri Lanka,1998-06-19 00:00:00
New Zealand,Sri Lanka,200,201,9,3,away,home,Sri Lanka,Sri Lanka,1998-06-21 00:00:00
